,Id,seeding,nombre,jugador 1,jugador 2,jugador 3,pais jugador 1,pais jugador 2,pais jugador 3,RONDA,Estado,IMAGEN
1,#REF!,,,,,,#REF!,#REF!,#REF!,#N/A,#N/A,
2,,,,,,,,,,,,#N/A
3,,,,,,,,,,,,#N/A
4,,,,,,,,,,,,#N/A
5,,,,,,,,,,,,#N/A
6,,,,,,,,,,,,#N/A
7,,,,,,,,,,,,#N/A
8,,,,,,,,,,,,#N/A
9,,,,,,,,,,,,#N/A
10,,,,,,,,,,,,#N/A
11,,,,,,,,,,,,#N/A
12,,,,,,,,,,,,#N/A
13,,,,,,,,,,,,#N/A
14,,,,,,,,,,,,#N/A
15,,,,,,,,,,,,#N/A
16,,,,,,,,,,,,#N/A
17,,,,,,,,,,,,#N/A
18,,,,,,,,,,,,#N/A
19,,,,,,,,,,,,#N/A
20,,,,,,,,,,,,#N/A
21,,,,,,,,,,,,#N/A
22,,,,,,,,,,,,#N/A
23,,,,,,,,,,,,#N/A
24,,,,,,,,,,,,#N/A
25,,,,,,,,,,,,#N/A
26,,,,,,,,,,,,#N/A
27,,,,,,,,,,,,#N/A
28,,,,,,,,,,,,#N/A
29,,,,,,,,,,,,#N/A
30,,,,,,,,,,,,#N/A
31,,,,,,,,,,,,#N/A
32,,,,,,,,,,,,#N/A
33,,,,,,,,,,,,#N/A
34,,,,,,,,,,,,#N/A
35,,,,,,,,,,,,#N/A
36,,,,,,,,,,,,#N/A
37,,,,,,,,,,,,#N/A
38,,,,,,,,,,,,#N/A
39,,,,,,,,,,,,#N/A
40,,,,,,,,,,,,#N/A
41,,,,,,,,,,,,#N/A
42,,,,,,,,,,,,#N/A
43,,,,,,,,,,,,#N/A
44,,,,,,,,,,,,#N/A
45,,,,,,,,,,,,#N/A
46,,,,,,,,,,,,#N/A
47,,,,,,,,,,,,#N/A
48,,,,,,,,,,,,#N/A
49,,,,,,,,,,,,#N/A
50,,,,,,,,,,,,#N/A
51,,,,,,,,,,,,#N/A
52,,,,,,,,,,,,#N/A
53,,,,,,,,,,,,#N/A
54,,,,,,,,,,,,#N/A
55,,,,,,,,,,,,#N/A
56,,,,,,,,,,,,#N/A
57,,,,,,,,,,,,#N/A
58,,,,,,,,,,,,#N/A
59,,,,,,,,,,,,#N/A
60,,,,,,,,,,,,#N/A
61,,,,,,,,,,,,#N/A
62,,,,,,,,,,,,#N/A
63,,,,,,,,,,,,#N/A
64,,,,,,,,,,,,#N/A
65,,,,,,,,,,,,#N/A
66,,,,,,,,,,,,#N/A
67,,,,,,,,,,,,#N/A
68,,,,,,,,,,,,#N/A
69,,,,,,,,,,,,#N/A
70,,,,,,,,,,,,#N/A
71,,,,,,,,,,,,#N/A
72,,,,,,,,,,,,#N/A
73,,,,,,,,,,,,#N/A
74,,,,,,,,,,,,#N/A
75,,,,,,,,,,,,#N/A
76,,,,,,,,,,,,#N/A
77,,,,,,,,,,,,#N/A
78,,,,,,,,,,,,#N/A
79,,,,,,,,,,,,#N/A
80,,,,,,,,,,,,#N/A
81,,,,,,,,,,,,#N/A
82,,,,,,,,,,,,#N/A
83,,,,,,,,,,,,#N/A
84,,,,,,,,,,,,#N/A
85,,,,,,,,,,,,#N/A
86,,,,,,,,,,,,#N/A
87,,,,,,,,,,,,#N/A
88,,,,,,,,,,,,#N/A
89,,,,,,,,,,,,#N/A
90,,,,,,,,,,,,#N/A
91,,,,,,,,,,,,#N/A
92,,,,,,,,,,,,#N/A
93,,,,,,,,,,,,#N/A
94,,,,,,,,,,,,#N/A
95,,,,,,,,,,,,#N/A
96,,,,,,,,,,,,#N/A
97,,,,,,,,,,,,#N/A
98,,,,,,,,,,,,#N/A
99,,,,,,,,,,,,#N/A
100,,,,,,,,,,,,#N/A
101,,,,,,,,,,,,#N/A
102,,,,,,,,,,,,#N/A
103,,,,,,,,,,,,#N/A
104,,,,,,,,,,,,#N/A
105,,,,,,,,,,,,#N/A
106,,,,,,,,,,,,#N/A
107,,,,,,,,,,,,#N/A
108,,,,,,,,,,,,#N/A
109,,,,,,,,,,,,#N/A
110,,,,,,,,,,,,#N/A
111,,,,,,,,,,,,#N/A
112,,,,,,,,,,,,#N/A
113,,,,,,,,,,,,#N/A
114,,,,,,,,,,,,#N/A
115,,,,,,,,,,,,#N/A
116,,,,,,,,,,,,#N/A
117,,,,,,,,,,,,#N/A
118,,,,,,,,,,,,#N/A
119,,,,,,,,,,,,#N/A
120,,,,,,,,,,,,#N/A
121,,,,,,,,,,,,#N/A
122,,,,,,,,,,,,#N/A
123,,,,,,,,,,,,#N/A
124,,,,,,,,,,,,#N/A
125,,,,,,,,,,,,#N/A
126,,,,,,,,,,,,#N/A
127,,,,,,,,,,,,#N/A
128,,,,,,,,,,,,#N/A
129,,,,,,,,,,,,#N/A
130,,,,,,,,,,,,#N/A
131,,,,,,,,,,,,#N/A
132,,,,,,,,,,,,#N/A
133,,,,,,,,,,,,#N/A
134,,,,,,,,,,,,#N/A
135,,,,,,,,,,,,#N/A
136,,,,,,,,,,,,#N/A
137,,,,,,,,,,,,#N/A
138,,,,,,,,,,,,#N/A
139,,,,,,,,,,,,#N/A
140,,,,,,,,,,,,#N/A
141,,,,,,,,,,,,#N/A
142,,,,,,,,,,,,#N/A
143,,,,,,,,,,,,#N/A
144,,,,,,,,,,,,#N/A
145,,,,,,,,,,,,#N/A
146,,,,,,,,,,,,#N/A
147,,,,,,,,,,,,#N/A
148,,,,,,,,,,,,#N/A
149,,,,,,,,,,,,#N/A
150,,,,,,,,,,,,#N/A
151,,,,,,,,,,,,#N/A
152,,,,,,,,,,,,#N/A
153,,,,,,,,,,,,#N/A
154,,,,,,,,,,,,#N/A
155,,,,,,,,,,,,#N/A
156,,,,,,,,,,,,#N/A
